year, month, day, hour, minute, second, I total up North [MA], I total down North [MA], I day up North [MA], I day down North [MA], I night up North [MA], I night down North [MA], I total up South [MA], I total down South [MA], I day up South [MA], I day down South [MA], I night up South [MA], I night down South [MA]
2024 05 11 00 00 00    18.08  -18.74   10.42  -10.26    7.66   -8.48   16.32  -16.56    7.10   -6.75    9.22   -9.81
2024 05 11 00 02 00    17.60  -18.04   10.35  -10.22    7.25   -7.82   17.60  -17.79    8.57   -7.95    9.02   -9.84
2024 05 11 00 04 00    19.08  -19.71   10.64  -10.80    8.44   -8.91   18.31  -18.40    8.05   -7.67   10.25  -10.74
2024 05 11 00 06 00    19.62  -19.75   10.86  -10.65    8.77   -9.10   19.13  -19.47    8.99   -8.59   10.13  -10.88
2024 05 11 00 08 00    18.51  -18.91   10.71  -10.61    7.80   -8.30   17.39  -17.49    8.24   -8.00    9.15   -9.50
2024 05 11 00 10 00    18.33  -18.94    9.66   -9.68    8.66   -9.26   17.33  -17.33    7.84   -7.57    9.48   -9.76
2024 05 11 00 12 00    19.86  -19.89   10.33   -9.99    9.53   -9.89   16.55  -16.99    7.96   -7.97    8.59   -9.03
2024 05 11 00 14 00    21.37  -21.77   10.79  -10.35   10.57  -11.42   17.48  -17.94    8.63   -8.67    8.85   -9.27
2024 05 11 00 16 00    23.75  -24.69   12.56  -12.25   11.19  -12.44   21.54  -21.77   12.17  -12.08    9.37   -9.69
2024 05 11 00 18 00    24.93  -25.52   12.94  -12.81   11.99  -12.71   22.00  -22.03   12.35  -12.18    9.65   -9.85
2024 05 11 00 20 00    26.40  -27.21   13.16  -13.33   13.24  -13.88   21.63  -21.89   11.78  -12.08    9.85   -9.81
2024 05 11 00 22 00    27.34  -27.99   13.25  -13.40   14.09  -14.59   21.14  -21.49   11.19  -11.57    9.95   -9.92
2024 05 11 00 24 00    26.90  -27.32   13.02  -13.47   13.88  -13.85   18.84  -19.43    9.11  -10.01    9.73   -9.42
2024 05 11 00 26 00    27.81  -28.48   14.05  -14.97   13.76  -13.51   19.05  -19.58    8.79   -9.89   10.25   -9.69
2024 05 11 00 28 00    28.62  -29.14   14.18  -14.96   14.44  -14.18   19.52  -20.01    9.17  -10.33   10.35   -9.68
2024 05 11 00 30 00    28.62  -29.02   14.46  -15.11   14.16  -13.91   19.85  -19.56    9.87  -10.41    9.98   -9.15
