datetime,mlat,mlt,glat,glon,alt,Ex,pot,cpcp_kV,pass_id
2024-05-10 19:23:41,-40.055,6.5599976,-31.501488,157.76622,860.98737,-0.0023018548,-14.6061421490591,109.0,S_2063
2024-05-10 19:23:42,-40.12,6.560074,-31.557442,157.75224,861.0763,-0.002602766,-28.832176842175347,109.0,S_2063
2024-05-10 19:23:43,-40.185,6.56015,-31.613394,157.73125,861.12445,-0.002598783,-44.4944079329707,109.0,S_2063
2024-05-10 19:23:44,-40.25,6.560211,-31.676342,157.71727,861.1189,-0.0031093294,-61.16478640210471,109.0,S_2063
2024-05-10 19:23:45,-40.315002,6.5602875,-31.732294,157.70328,861.1096,-0.0031058318,-78.66629858026876,109.0,S_2063
2024-05-10 19:23:46,-40.38,6.5603485,-31.788248,157.6823,861.11334,-0.0030984725,-95.52325046389345,109.0,S_2063
2024-05-10 19:23:47,-40.445,6.560425,-31.8442,157.6683,861.10596,-0.0031326516,-115.04670721763088,109.0,S_2063
2024-05-10 19:23:48,-40.510002,6.560501,-31.907146,157.65431,861.0985,-0.0031468612,-134.82468235797603,109.0,S_2063
2024-05-10 19:23:49,-40.575,6.560562,-31.970095,157.63333,861.1374,-0.0031421445,-151.63224062187237,109.0,S_2063
2024-05-10 19:23:50,-40.64,6.5606384,-32.026047,157.61935,861.2244,-0.0031384446,-168.80969788186027,109.0,S_2063
2024-05-10 19:23:51,-40.705,6.5607147,-32.082,157.60536,861.3041,-0.0031535858,-186.0825073215938,109.0,S_2063
2024-05-10 19:23:52,-40.77,6.560791,-32.137955,157.59137,861.3263,-0.0031875763,-201.76883910267736,109.0,S_2063
2024-05-10 19:23:53,-40.835,6.5608673,-32.186913,157.57039,861.3078,-0.0033395856,-223.0194652052443,109.0,S_2063
2024-05-10 19:23:54,-40.9,6.5609283,-32.24986,157.5564,861.2837,-0.0031987801,-242.68485474162426,109.0,S_2063
2024-05-10 19:23:55,-40.965,6.5610046,-32.312805,157.54242,861.30225,-0.0032126869,-260.5490405382124,109.0,S_2063
2024-05-10 19:23:56,-41.030003,6.561081,-32.36876,157.52142,861.39667,-0.003379141,-276.6269599593947,109.0,S_2063
2024-05-10 19:23:57,-41.095,6.561157,-32.417717,157.50745,861.4967,-0.0032209198,-297.10015026573035,109.0,S_2063
2024-05-10 19:23:58,-41.16,6.5612335,-32.480663,157.49345,861.5263,-0.003215816,-317.36964037946734,109.0,S_2063
2024-05-10 19:23:59,-41.225002,6.56131,-32.54361,157.47247,861.50415,-0.0032106629,-334.6108937426323,109.0,S_2063
2024-05-10 19:24:00,-41.29,6.561386,-32.599564,157.45848,861.4726,-0.0032632272,-353.12321957116137,109.0,S_2063
2024-05-10 19:24:01,-41.355,6.5614624,-32.655518,157.4375,861.4744,-0.0032590858,-370.99592373285884,109.0,S_2063
2024-05-10 19:24:02,-41.420002,6.561554,-32.71147,157.42351,861.5393,-0.0035866555,-394.277325229938,109.0,S_2063
2024-05-10 19:24:03,-41.485,6.5616302,-32.774418,157.40253,861.64856,-0.003596791,-413.9653026832749,109.0,S_2063
2024-05-10 19:24:04,-41.55,6.561722,-32.83037,157.38855,861.7153,-0.003768588,-435.13414869930205,109.0,S_2063
2024-05-10 19:24:05,-41.615,6.561798,-32.886322,157.37456,861.7115,-0.003764831,-456.9069615559667,109.0,S_2063
2024-05-10 19:24:06,-41.68,6.5618896,-32.942276,157.35358,861.6819,-0.0036038582,-479.70628510145485,109.0,S_2063
2024-05-10 19:24:07,-41.745,6.561966,-33.005222,157.33958,861.6726,-0.0035987329,-499.47323831427707,109.0,S_2063
2024-05-10 19:24:08,-41.81,6.5620575,-33.061176,157.32559,861.7319,-0.0033362806,-518.4531920294152,109.0,S_2063
2024-05-10 19:24:09,-41.875,6.562149,-33.11713,157.30461,861.8412,-0.0033318088,-536.7833840759295,109.0,S_2063
2024-05-10 19:24:10,-41.94,6.5622253,-33.17308,157.29062,861.91156,-0.0033461885,-558.3152792654782,109.0,S_2063
2024-05-10 19:24:11,-42.005,6.562317,-33.23603,157.26964,861.91156,-0.0033594037,-579.05115537458,109.0,S_2063
2024-05-10 19:24:12,-42.07,6.562393,-33.298977,157.25566,861.8912,-0.003530834,-598.9683614802549,109.0,S_2063
2024-05-10 19:24:13,-42.135,6.5624847,-33.354927,157.23466,861.8912,-0.0035225826,-618.5074929714328,109.0,S_2063
2024-05-10 19:24:14,-42.2,6.562561,-33.41088,157.22069,861.8912,-0.0036767107,-639.0916410572438,109.0,S_2063
2024-05-10 19:24:15,-42.265,6.5626526,-33.466835,157.2067,861.8726,-0.0038500642,-664.2705361882315,109.0,S_2063
2024-05-10 19:24:16,-42.33,6.562744,-33.52978,157.18571,861.88745,-0.0038824906,-685.7672902081724,109.0,S_2063
2024-05-10 19:24:17,-42.395,6.5628204,-33.585735,157.17172,861.9782,-0.003859328,-708.1391786508631,109.0,S_2063
2024-05-10 19:24:18,-42.46,6.562912,-33.641685,157.15074,862.0801,-0.004052149,-731.6992945169268,109.0,S_2063
2024-05-10 19:24:19,-42.525,6.5630035,-33.69764,157.12976,862.1116,-0.003903575,-756.623968214472,109.0,S_2063
2024-05-10 19:24:20,-42.59,6.56308,-33.760586,157.11577,862.0875,-0.0039169197,-781.3862865340187,109.0,S_2063
2024-05-10 19:24:21,-42.655,6.5631714,-33.823536,157.10179,862.056,-0.0037514304,-802.7284475485442,109.0,S_2063
2024-05-10 19:24:22,-42.72,6.563263,-33.879486,157.0808,862.05786,-0.0036055872,-820.0610123591171,109.0,S_2063
2024-05-10 19:24:23,-42.785,6.563339,-33.928448,157.06682,862.1227,-0.003922369,-843.1607564258953,109.0,S_2063
2024-05-10 19:24:24,-42.85,6.563431,-33.984398,157.04584,862.23193,-0.0037951542,-867.3144288386087,109.0,S_2063
2024-05-10 19:24:25,-42.915,6.5635223,-34.047344,157.03185,862.29865,-0.0039875875,-889.541319212092,109.0,S_2063
2024-05-10 19:24:26,-42.98,6.5635986,-34.1033,157.01785,862.29486,-0.004001823,-915.8090278105255,109.0,S_2063
2024-05-10 19:24:27,-43.045,6.56369,-34.166245,156.99687,862.269,-0.0036740138,-933.1979299057832,109.0,S_2063
2024-05-10 19:24:28,-43.11,6.5637817,-34.215206,156.98288,862.26154,-0.0035089457,-953.6037191450911,109.0,S_2063
2024-05-10 19:24:29,-43.175,6.5638733,-34.271156,156.9619,862.306,-0.0034998697,-975.6608328375628,109.0,S_2063
2024-05-10 19:24:30,-43.239998,6.5639496,-34.334106,156.9479,862.39496,-0.0034933214,-997.9154482085463,109.0,S_2063
2024-05-10 19:24:31,-43.305,6.564041,-34.397053,156.92693,862.4708,-0.0033251361,-1015.8711980832741,109.0,S_2063
2024-05-10 19:24:32,-43.37,6.5641327,-34.453003,156.91295,862.49493,-0.0030148448,-1032.2535432345771,109.0,S_2063
2024-05-10 19:24:33,-43.434998,6.5642242,-34.508957,156.89896,862.4764,-0.0031707797,-1052.4934232824971,109.0,S_2063
2024-05-10 19:24:34,-43.5,6.564316,-34.571903,156.87798,862.45233,-0.003039335,-1069.125960077901,109.0,S_2063
