Made with swmfpy (https://gitlab.umich.edu/swmf_software/swmfpy)


   year   month     day    hour     min     sec    msec      bx      by      bz      vx      vy      vz density temperature
#COORD
GSM

#START
   2024      05      09      00      08      33     280    -1.7    1.65     0.2 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      09      33     329   -1.82    1.49    0.37 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      10      33     378   -1.52    0.84     0.8 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      11      33     427   -1.23    0.44     1.4 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      12      33     476    -1.2   -0.05    1.89 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      13      33     524    -1.8    0.78    0.81 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      14      33     571   -0.53    0.04    2.28 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      15      33     620   -1.01    0.42    1.82 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      16      33     669   -1.08    0.31    1.81 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      17      33     715   -1.42    0.52    1.48 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      18      33     764   -1.49    0.69    1.32 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      19      33     811   -1.57    0.71    1.22 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      20      33     859   -1.74    0.95    1.06 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      21      33     907    -1.5    0.69    1.32 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      22      33     953   -1.51    0.93    0.84 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      23      34     000   -1.56    1.07    0.71 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      24      34     047   -1.63    0.72    0.87 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      25      34     095   -1.62     0.8    0.92 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      26      34     143   -0.91    0.83   -0.62 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      27      34     189   -1.28    1.06   -0.38 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      28      34     234   -1.17    0.98    0.19 -449.69   21.03    0.13     7.6 175516.04
   2024      05      09      00      29      34     281   -1.41    0.76   -0.34 -449.69   21.03    0.13     7.6 175516.04
