time,PCN,PCS
2024-05-10 00:00,    1.57,    1.00
2024-05-10 00:01,    1.54,    0.97
2024-05-10 00:02,    1.52,    0.96
2024-05-10 00:03,    1.50,    0.98
2024-05-10 00:04,    1.48,    0.97
2024-05-10 00:05,    1.47,    0.99
2024-05-10 00:06,    1.46,    1.02
2024-05-10 00:07,    1.44,    0.96
2024-05-10 00:08,    1.42,    0.90
2024-05-10 00:09,    1.43,    0.86
2024-05-10 00:10,    1.45,    0.86
2024-05-10 00:11,    1.46,    0.85
2024-05-10 00:12,    1.52,    0.81
2024-05-10 00:13,    1.56,    0.84
2024-05-10 00:14,    1.51,    0.86
2024-05-10 00:15,    1.50,    0.80
2024-05-10 00:16,    1.41,    0.76
2024-05-10 00:17,    1.36,    0.76
2024-05-10 00:18,    1.38,    0.73
2024-05-10 00:19,    1.44,    0.72
2024-05-10 00:20,    1.37,    0.72
2024-05-10 00:21,    1.32,    0.71
2024-05-10 00:22,    1.30,    0.71
2024-05-10 00:23,    1.27,    0.65
2024-05-10 00:24,    1.27,    0.64
2024-05-10 00:25,    1.26,    0.64
2024-05-10 00:26,    1.23,    0.61
2024-05-10 00:27,    1.21,    0.63
2024-05-10 00:28,    1.18,    0.68
2024-05-10 00:29,    1.18,    0.68
2024-05-10 00:30,    1.14,    0.73
2024-05-10 00:31,    1.15,    0.73
2024-05-10 00:32,    1.16,    0.69
2024-05-10 00:33,    1.24,    0.69
2024-05-10 00:34,    1.31,    0.63
2024-05-10 00:35,    1.35,    0.66
2024-05-10 00:36,    1.40,    0.66
2024-05-10 00:37,    1.36,    0.71
2024-05-10 00:38,    1.33,    0.74
2024-05-10 00:39,    1.34,    0.87
2024-05-10 00:40,    1.43,    0.98
2024-05-10 00:41,    1.62,    1.00
2024-05-10 00:42,    1.76,    1.02
2024-05-10 00:43,    1.82,    1.07
2024-05-10 00:44,    1.81,    1.12
2024-05-10 00:45,    1.83,    1.12
2024-05-10 00:46,    1.81,    1.11
2024-05-10 00:47,    1.80,    1.11
2024-05-10 00:48,    1.81,    1.05
2024-05-10 00:49,    1.84,    1.07
2024-05-10 00:50,    1.86,    1.06
2024-05-10 00:51,    1.90,    1.06
2024-05-10 00:52,    1.95,    1.03
2024-05-10 00:53,    2.00,    1.02
2024-05-10 00:54,    2.02,    1.08
2024-05-10 00:55,    2.04,    1.13
2024-05-10 00:56,    2.09,    1.10
2024-05-10 00:57,    2.09,    1.07
2024-05-10 00:58,    2.09,    1.12
2024-05-10 00:59,    2.07,    1.14
2024-05-10 01:00,  999.00,    1.13
2024-05-10 01:01,    2.19,    1.12
2024-05-10 01:02,    2.22,    1.15
2024-05-10 01:03,    2.25,    1.16
2024-05-10 01:04,    2.32,    1.18
2024-05-10 01:05,    2.38,    1.20
2024-05-10 01:06,    2.34,    1.17
2024-05-10 01:07,    2.29,    1.16
2024-05-10 01:08,    2.23,    1.15
2024-05-10 01:09,    2.27,    1.13
2024-05-10 01:10,    2.29,    1.18
2024-05-10 01:11,    2.27,    1.17
2024-05-10 01:12,    2.22,    1.25
2024-05-10 01:13,    2.18,    1.30
2024-05-10 01:14,    2.26,    1.38
2024-05-10 01:15,    2.36,    1.39
2024-05-10 01:16,    2.40,    1.41
2024-05-10 01:17,    2.46,    1.38
2024-05-10 01:18,    2.54,    1.41
2024-05-10 01:19,    2.57,    1.41
2024-05-10 01:20,    2.59,    1.35
2024-05-10 01:21,    2.60,    1.37
2024-05-10 01:22,    2.65,    1.40
2024-05-10 01:23,    2.74,    1.38
2024-05-10 01:24,    2.76,    1.39
2024-05-10 01:25,    2.77,    1.53
2024-05-10 01:26,    2.99,    1.54
2024-05-10 01:27,    3.13,    1.67
2024-05-10 01:28,    3.27,    1.68
2024-05-10 01:29,    3.36,    1.68
2024-05-10 01:30,    3.47,    1.69
2024-05-10 01:31,    3.58,    1.79
2024-05-10 01:32,    3.69,    1.89
2024-05-10 01:33,    3.75,    1.97
2024-05-10 01:34,    3.76,    2.06
2024-05-10 01:35,    3.79,    2.21
2024-05-10 01:36,    3.92,    2.31
2024-05-10 01:37,    4.04,    2.35
2024-05-10 01:38,    4.07,    2.40
2024-05-10 01:39,    4.16,    2.41
2024-05-10 01:40,    4.31,    2.49
2024-05-10 01:41,    4.43,    2.51
2024-05-10 01:42,    4.58,    2.51
2024-05-10 01:43,    4.60,    2.57
2024-05-10 01:44,    4.68,    2.65
2024-05-10 01:45,    4.89,    2.70
2024-05-10 01:46,    4.91,    2.77
2024-05-10 01:47,    4.76,    2.82
2024-05-10 01:48,    4.77,    2.87
2024-05-10 01:49,    4.82,    2.89
2024-05-10 01:50,    4.85,    2.94
2024-05-10 01:51,    4.90,    3.00
2024-05-10 01:52,    4.93,    3.04
2024-05-10 01:53,    5.10,    2.97
2024-05-10 01:54,    5.12,    2.96
