time,ext,iaga,dBn,dBe,dBd
2024-05-10 13:00:00,60.0,FMC,-45.425743,-20.141006,-80.201591
2024-05-10 13:01:00,60.0,FMC,-44.7533,-20.554691,-77.001587
2024-05-10 13:02:00,60.0,FMC,-41.131844,-19.426659,-75.337631
2024-05-10 13:03:00,60.0,FMC,-38.031696,-19.794287,-73.076546
2024-05-10 13:04:00,60.0,FMC,-36.891991,-21.066347,-71.523811
2024-05-10 13:05:00,60.0,FMC,-34.853939,-21.08473,-71.499367
2024-05-10 13:06:00,60.0,FMC,-33.783718,-21.575878,-71.120422
2024-05-10 13:07:00,60.0,FMC,-33.554974,-21.217781,-68.687454
2024-05-10 13:08:00,60.0,FMC,-34.158588,-20.880327,-66.814415
2024-05-10 13:09:00,60.0,FMC,-33.681095,-21.069149,-65.450211
2024-05-10 13:10:00,60.0,FMC,-29.683977,-18.071341,-63.762829
2024-05-10 13:11:00,60.0,FMC,-29.868023,-18.551014,-62.255932
2024-05-10 13:12:00,60.0,FMC,-31.549324,-20.519947,-63.566799
2024-05-10 13:13:00,60.0,FMC,-31.908154,-20.806654,-63.382671
2024-05-10 13:14:00,60.0,FMC,-33.619286,-19.601431,-64.30513
2024-05-10 13:15:00,60.0,FMC,-34.253609,-14.627841,-65.291023
2024-05-10 13:16:00,60.0,FMC,-29.022738,-8.109476,-65.485313
2024-05-10 13:17:00,60.0,FMC,-22.776871,-1.209379,-64.837036
2024-05-10 13:18:00,60.0,FMC,-15.087854,1.565445,-62.724957
2024-05-10 13:19:00,60.0,FMC,-12.696637,-3.191246,-58.028313
2024-05-10 13:20:00,60.0,FMC,-13.810818,-6.37763,-55.895401
2024-05-10 13:21:00,60.0,FMC,-15.411804,-6.431274,-55.474678
2024-05-10 13:22:00,60.0,FMC,-15.565557,-2.990389,-55.613743
2024-05-10 13:23:00,60.0,FMC,-13.208395,-0.577003,-54.926064
2024-05-10 13:24:00,60.0,FMC,-10.641638,-2.592726,-53.958435
2024-05-10 13:25:00,60.0,FMC,-11.998062,-3.725082,-53.382759
2024-05-10 13:26:00,60.0,FMC,-12.262535,-3.180508,-52.909996
2024-05-10 13:27:00,60.0,FMC,-11.357779,-2.363262,-51.645638
2024-05-10 13:28:00,60.0,FMC,-11.064567,-2.478716,-50.952976
2024-05-10 13:29:00,60.0,FMC,-11.130911,-2.969002,-50.425774
2024-05-10 13:30:00,60.0,FMC,-12.055305,-4.428322,-49.501648
2024-05-10 13:31:00,60.0,FMC,-12.267943,-5.145435,-48.809441
2024-05-10 13:32:00,60.0,FMC,-14.259037,-5.700798,-47.845364
2024-05-10 13:33:00,60.0,FMC,-15.020213,-4.05389,-47.332207
2024-05-10 13:34:00,60.0,FMC,-14.421521,-3.153734,-47.402443
2024-05-10 13:35:00,60.0,FMC,-14.475096,-2.764046,-47.208519
2024-05-10 13:36:00,60.0,FMC,-14.68282,-2.766281,-46.351963
2024-05-10 13:37:00,60.0,FMC,-14.35272,-1.041142,-46.016575
2024-05-10 13:38:00,60.0,FMC,-13.585327,-0.592348,-46.100288
2024-05-10 13:39:00,60.0,FMC,-12.23359,-0.26096,-46.189232
2024-05-10 13:40:00,60.0,FMC,-12.440018,-1.801466,-45.802895
2024-05-10 13:41:00,60.0,FMC,-13.071206,-1.91732,-45.2775
2024-05-10 13:42:00,60.0,FMC,-14.059761,-1.286251,-44.370205
