time,ext,iaga,dBn,dBe,dBd
2024-05-10 13:00:00,60.0,MEA,-16.00532,-15.223583,-50.933361
2024-05-10 13:01:00,60.0,MEA,-15.385796,-15.67323,-49.756725
2024-05-10 13:02:00,60.0,MEA,-13.500263,-15.201696,-48.42041
2024-05-10 13:03:00,60.0,MEA,-12.038132,-15.527763,-46.888927
2024-05-10 13:04:00,60.0,MEA,-11.962346,-16.59363,-46.241089
2024-05-10 13:05:00,60.0,MEA,-11.636147,-16.572144,-45.874985
2024-05-10 13:06:00,60.0,MEA,-10.775347,-17.120893,-45.056244
2024-05-10 13:07:00,60.0,MEA,-10.834952,-16.62871,-44.706432
2024-05-10 13:08:00,60.0,MEA,-10.44202,-16.430918,-44.04493
2024-05-10 13:09:00,60.0,MEA,-10.34844,-16.679611,-44.266735
2024-05-10 13:10:00,60.0,MEA,-8.135259,-14.837179,-42.598408
2024-05-10 13:11:00,60.0,MEA,-9.146127,-15.959293,-41.953739
2024-05-10 13:12:00,60.0,MEA,-11.649757,-17.857288,-42.825481
2024-05-10 13:13:00,60.0,MEA,-11.653872,-17.542091,-42.990696
2024-05-10 13:14:00,60.0,MEA,-12.420179,-16.376707,-43.230633
2024-05-10 13:15:00,60.0,MEA,-13.750313,-13.093548,-43.814571
2024-05-10 13:16:00,60.0,MEA,-10.926713,-7.997017,-42.262562
2024-05-10 13:17:00,60.0,MEA,-5.477581,-1.89871,-39.457153
2024-05-10 13:18:00,60.0,MEA,0.665591,1.100199,-36.292652
2024-05-10 13:19:00,60.0,MEA,1.837504,-2.158703,-34.589844
2024-05-10 13:20:00,60.0,MEA,1.123259,-4.915686,-34.465672
2024-05-10 13:21:00,60.0,MEA,-0.759359,-5.572319,-35.490456
2024-05-10 13:22:00,60.0,MEA,-1.496692,-4.046993,-35.706966
2024-05-10 13:23:00,60.0,MEA,-0.15059,-2.310179,-34.920303
2024-05-10 13:24:00,60.0,MEA,0.939277,-3.305735,-33.919315
2024-05-10 13:25:00,60.0,MEA,-0.536652,-4.50695,-34.106358
2024-05-10 13:26:00,60.0,MEA,-1.085968,-4.058186,-34.032036
2024-05-10 13:27:00,60.0,MEA,-0.657315,-3.323555,-33.333424
2024-05-10 13:28:00,60.0,MEA,-0.375482,-3.339975,-32.80331
2024-05-10 13:29:00,60.0,MEA,-0.911358,-3.691799,-32.812798
2024-05-10 13:30:00,60.0,MEA,-1.42484,-4.827139,-32.682053
2024-05-10 13:31:00,60.0,MEA,-2.147037,-5.78488,-32.653629
