time,ext,iaga,dBn,dBe,dBd
2024-05-10 13:00:00,60.0,T43,-4.753936,-6.222741,-32.797241
2024-05-10 13:01:00,60.0,T43,-3.88014,-6.862931,-32.328709
2024-05-10 13:02:00,60.0,T43,-2.29118,-6.930099,-31.965521
2024-05-10 13:03:00,60.0,T43,-1.004715,-8.053333,-31.488714
2024-05-10 13:04:00,60.0,T43,0.175873,-9.234402,-30.898766
2024-05-10 13:05:00,60.0,T43,0.951669,-9.394306,-30.379059
2024-05-10 13:06:00,60.0,T43,2.08347,-9.990196,-29.988201
2024-05-10 13:07:00,60.0,T43,2.297791,-9.136438,-29.487696
2024-05-10 13:08:00,60.0,T43,2.6281,-8.505245,-29.292088
2024-05-10 13:09:00,60.0,T43,3.04114,-8.526784,-29.04179
2024-05-10 13:10:00,60.0,T43,3.199072,-7.35861,-28.822752
2024-05-10 13:11:00,60.0,T43,3.232752,-8.637896,-28.583977
2024-05-10 13:12:00,60.0,T43,2.911894,-9.798611,-28.404076
2024-05-10 13:13:00,60.0,T43,2.410309,-8.475018,-28.114862
2024-05-10 13:14:00,60.0,T43,1.262232,-6.446472,-27.915571
2024-05-10 13:15:00,60.0,T43,-0.981504,-1.867229,-27.70443
2024-05-10 13:16:00,60.0,T43,-1.175319,2.628181,-27.778786
2024-05-10 13:17:00,60.0,T43,-0.532067,6.816486,-27.790773
2024-05-10 13:18:00,60.0,T43,1.713983,8.003635,-27.630808
2024-05-10 13:19:00,60.0,T43,4.363583,4.210958,-27.209513
2024-05-10 13:20:00,60.0,T43,6.309397,1.194292,-26.862617
2024-05-10 13:21:00,60.0,T43,6.832728,0.719315,-26.234669
2024-05-10 13:22:00,60.0,T43,6.793138,2.049913,-25.813755
2024-05-10 13:23:00,60.0,T43,6.865244,3.112366,-25.658911
2024-05-10 13:24:00,60.0,T43,6.954484,2.23234,-25.516033
2024-05-10 13:25:00,60.0,T43,6.397826,1.712004,-25.244513
2024-05-10 13:26:00,60.0,T43,5.899647,2.544472,-25.090267
2024-05-10 13:27:00,60.0,T43,5.188096,3.548475,-24.96777
2024-05-10 13:28:00,60.0,T43,5.275146,3.549025,-25.048714
2024-05-10 13:29:00,60.0,T43,5.135458,3.376551,-24.965925
2024-05-10 13:30:00,60.0,T43,5.152226,2.333502,-25.000498
2024-05-10 13:31:00,60.0,T43,4.726792,1.821918,-24.851845
2024-05-10 13:32:00,60.0,T43,3.581744,1.65139,-24.855576
2024-05-10 13:33:00,60.0,T43,1.924517,2.445362,-24.808405
