Made with swmfpy (https://gitlab.umich.edu/swmf_software/swmfpy), Oct 8 2024


   year   month     day    hour     min     sec    msec      bx      by      bz      vx      vy      vz density temperature
#COORD
GSM

#START
   2024      05      09      00      08      33     399    -1.7    1.65     0.2 -449.53   20.65    5.89    2.92 487037.5
   2024      05      09      00      09      32     832   -1.82    1.49    0.37 -450.22   21.16    4.97    2.98 443280.22
   2024      05      09      00      10      34     493   -1.52    0.84     0.8 -448.42   20.72    4.11    3.06 442656.22
   2024      05      09      00      11      32     321   -1.23    0.44     1.4 -450.78   24.08   -3.17    3.11 490938.31
   2024      05      09      00      12      35     315    -1.2   -0.05    1.89 -447.54   22.37     0.2    3.14 474406.49
   2024      05      09      00      13      34     356    -1.8    0.78    0.81 -448.72    21.3    3.13    3.13 467152.51
   2024      05      09      00      14      34     713   -0.53    0.04    2.28 -448.36    21.4    3.56    3.06 512206.68
   2024      05      09      00      15      34     766   -1.01    0.42    1.82 -448.36   21.28    3.59    3.14 471464.75
   2024      05      09      00      16      34     948   -1.08    0.31    1.81 -448.22    20.8    5.51    3.07 483576.01
   2024      05      09      00      17      34     849   -1.42    0.52    1.48 -448.39   20.67    4.86    3.09 466991.88
   2024      05      09      00      18      34     761   -1.49    0.69    1.32 -448.55   20.61    4.74    3.05 477088.78
   2024      05      09      00      19      34     192   -1.57    0.71    1.22 -449.26   19.96    5.91    2.98 489389.08
   2024      05      09      00      20      35     333   -1.74    0.95    1.06 -448.04   19.73    5.96    2.96 478782.78
   2024      05      09      00      21      34     201    -1.5    0.69    1.32 -449.35   20.81    3.21    3.02 512263.31
   2024      05      09      00      22      33     054   -1.51    0.93    0.84 -450.72   19.67    6.61    3.02 469538.84
   2024      05      09      00      23      35     347   -1.56    1.07    0.71 -448.17   20.51    3.83    2.96 506148.8
   2024      05      09      00      24      34     777   -1.63    0.72    0.87 -448.89   19.92    4.01    3.05 477329.82
   2024      05      09      00      25      35     526   -1.62     0.8    0.92 -448.11   19.75    4.28    2.94 516910.56
   2024      05      09      00      26      35     778   -0.91    0.83   -0.62 -447.88   19.84    2.73    2.95 476389.82
   2024      05      09      00      27      36     460   -1.28    1.06   -0.38 -447.19   18.61    5.74    2.82 455316.91
   2024      05      09      00      28      38     539   -1.17    0.98    0.19 -444.88   19.52    5.85    2.95 522282.15
   2024      05      09      00      29      35     737   -1.41    0.76   -0.34 -448.09   18.58    7.34    2.96 476579.27
